time,value
0,102.483574
1,101.35535
2,107.31183
3,113.67555
4,106.8176
5,108.66782
6,119.488914
7,117.071526
8,112.39975
9,118.82934
10,115.01233
11,116.0455
12,120.45059
13,110.35476
14,111.78441
15,117.888466
16,115.72732
17,122.25453
18,115.83683
19,112.81448
20,126.51419
21,117.1853
22,117.60757
23,108.94036
24,111.98735
25,113.774055
26,105.85506
27,111.776085
28,105.09657
29,104.77652
30,101.313866
31,111.643005
32,100.36503
33,93.20653
34,100.701904
35,88.63012
36,93.99391
37,81.454926
38,83.02191
39,89.178986
40,90.55628
41,86.5413
42,84.09024
43,82.32116
44,75.775345
45,79.100174
46,80.122986
47,87.637146
48,84.1948
49,73.98575
50,84.94193
51,82.10829
52,81.546295
53,89.063034
54,92.39971
55,93.29559
56,85.97858
57,90.29023
58,95.264275
59,100.35019
60,95.015816
61,98.478455
62,95.90654
63,97.50524
64,109.59361
65,114.3336
66,109.17078
67,116.46466
68,115.09045
69,111.7932
70,118.44671
71,125.819565
72,119.29423
73,128.48195
74,108.57544
75,126.619514
76,123.59363
77,122.118324
78,124.32967
79,113.99098
80,122.688805
81,125.23336
82,130.30408
83,119.60209
84,117.24951
85,117.71096
86,123.56495
87,119.25314
88,113.44954
89,117.03675
90,113.22776
91,115.77519
92,105.54753
93,105.50078
94,103.23497
95,95.929405
96,102.79407
97,100.72006
98,97.595985
99,94.62634
100,87.042725
101,90.44536
102,89.38893
103,85.7849
104,87.83704
105,89.67634
106,96.27542
107,87.09019
108,87.06903
109,85.169044
110,75.90634
111,85.52638
112,86.3176
113,98.885826
114,86.35162
115,89.748695
116,89.16987
117,84.76694
118,97.743614
119,97.346924
120,99.2237
121,92.51012
122,105.94939
123,93.87611
124,105.822205
125,115.87584
126,102.01978
127,106.18315
128,111.52845
129,110.48211
130,107.150024
131,117.06605
132,113.12995
133,122.409355
134,116.9104
135,130.57536
136,120.06697
137,123.35879
138,129.8415
139,120.23583
140,127.94945
141,133.5719
142,119.02312
143,127.80861
144,127.81257
145,129.85701
146,119.01107
147,117.66265
148,125.77475
149,123.39255
150,121.758224
151,120.70618
152,113.92785
153,116.74608
154,115.22773
155,108.307594
156,119.28394
157,110.378426
158,100.10535
159,107.415596
160,97.36852
161,104.343994
162,104.44454
163,92.885544
164,100.254745
165,96.0782
166,96.84326
167,101.09113
168,89.42172
169,86.09884
170,84.82448
171,84.78965
172,88.27649
173,90.36027
174,90.23026
175,93.3734
176,89.88812
177,97.86602
178,90.23267
179,106.287704
180,97.10859
181,91.13794
182,91.64888
183,101.11619
184,99.39137
185,105.97039
186,106.726715
187,106.005875
188,104.175316
189,102.88422
190,110.26497
191,118.78868
192,117.536766
193,112.12862
194,121.02722
195,123.787384
196,119.01999
197,125.65009
198,126.464516
199,121.58803
200,351.8846
201,356.42676
202,365.3786
203,365.6677
204,329.52667
205,336.05582
206,357.3818
207,356.5029
208,355.27753
209,403.72726
210,352.52957
211,358.69525
212,353.35648
213,345.9178
214,328.26355
215,341.0001
216,314.45764
217,318.77982
218,311.21902
219,315.819
220,345.3658
221,278.69556
222,313.10043
223,274.8007
224,288.21878
225,308.0973
226,289.38718
227,269.14532
228,271.73065
229,290.09204
230,266.69568
231,278.98938
232,274.87518
233,263.24048
234,304.38254
235,281.3355
236,241.45183
237,275.0274
238,263.10126
239,287.00043
240,263.88907
241,275.98068
242,287.5446
243,295.5452
244,267.43915
245,283.5782
246,284.85995
247,285.77563
248,325.8164
249,309.2989
250,288.29266
251,325.0085
252,347.12067
253,334.79617
254,300.473
255,319.84882
256,349.8213
257,323.72784
258,344.3107
259,352.3361
260,329.5984
261,345.09045
262,299.51624
263,334.5713
264,347.5829
265,333.70755
266,377.57196
267,331.89764
268,346.61337
269,354.64163
270,373.37415
271,328.9094
272,366.21838
273,346.8966
274,329.66202
275,348.65115
276,341.761
277,326.57776
278,333.21686
279,322.7964
280,326.539
