Window,Metric,ARIMA,KF,Adaptive_KF
Pre-Shift (t=0-199),MSE,N/A,408.0178,475.7541
Pre-Shift (t=0-199),RMSE,N/A,20.1994,21.8118
Pre-Shift (t=0-199),MAE,N/A,8.7646,11.0690
Pre-Shift (t=0-199),NMSE,N/A,0.7252,0.8456
Post-Shift1 (t=200-399),MSE,5115.6559,5991.5291,8330.8686
Post-Shift1 (t=200-399),RMSE,71.5238,77.4050,91.2736
Post-Shift1 (t=200-399),MAE,44.6717,53.3757,62.5705
Post-Shift1 (t=200-399),NMSE,1.2745,1.4927,2.0756
Post-Shift2 (t=400-599),MSE,2541.6950,3052.0554,4318.7727
Post-Shift2 (t=400-599),RMSE,50.4152,55.2454,65.7174
Post-Shift2 (t=400-599),MAE,33.7351,37.4660,44.9295
Post-Shift2 (t=400-599),NMSE,1.4280,1.7147,2.4264
Full Post-Shift (t=200-599),MSE,3828.6755,4521.7923,6324.8207
Full Post-Shift (t=200-599),RMSE,61.8763,67.2443,79.5287
Full Post-Shift (t=200-599),MAE,39.2034,45.4209,53.7500
Full Post-Shift (t=200-599),NMSE,0.2719,0.3211,0.4491
